slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
sione-tuipulotu,Sione TUIPULOTU,urc|national,yes,height_cm|weight_kg,urc:174|national:182,urc:105|national:101,"urc:['Australia', 'Scotland']|national:['Australia', 'Scotland']",urc:None|national:None,182,101,national,2026-07-23T23:49:20+09:00
sipili-falatea,Sipili FALATEA,top14|national,yes,height_cm|weight_kg,top14:178|national:183,top14:118|national:111,top14:['France']|national:['France'],top14:None|national:None,178,118,top14,2026-07-25T22:16:09+09:00
sireli-maqala,Sireli MAQALA,top14|national,yes,weight_kg,top14:174|national:174,top14:85|national:84,top14:[]|national:[],top14:None|national:None,174,85,top14,2026-07-25T22:13:57+09:00
siua-maile,Siua MAILE,urc|national,yes,height_cm|weight_kg,urc:177|national:180,urc:112|national:109,urc:['Tonga']|national:['Tonga'],urc:None|national:None,180,109,national,2026-07-24T00:37:21+09:00
siya-kolisi,Siya KOLISI,urc|national,yes,height_cm|weight_kg,urc:193|national:185,urc:106|national:104,urc:['South Africa']|national:['South Africa'],urc:None|national:None,185,104,national,2026-07-24T00:07:03+09:00
solomone-kata,Solomone KATA,premiership|national,yes,height_cm|weight_kg,premiership:177|national:181,premiership:106|national:100,premiership:['Tonga']|national:['Tonga'],premiership:None|national:None,181,100,national,2026-07-24T00:38:17+09:00
stafford-mcdowall,Stafford MCDOWALL,urc|national,yes,height_cm|weight_kg,urc:196|national:195,urc:107|national:102,urc:['Scotland']|national:['Scotland'],urc:None|national:None,195,102,national,2026-07-23T23:49:23+09:00
stephen-varney,Stephen VARNEY,premiership|national,yes,height_cm,premiership:175|national:173,premiership:78|national:78,"premiership:['Wales', 'Italy']|national:['Wales', 'Italy']",premiership:None|national:None,173,78,national,2026-07-24T00:02:09+09:00
stuart-mccloskey,Stuart MCCLOSKEY,urc|national,no,,urc:198|national:198,urc:112|national:112,urc:['Ireland']|national:['Ireland'],urc:None|national:None,198,112,national,2026-07-24T00:00:19+09:00
tadhg-beirne,Tadhg BEIRNE,urc|national,yes,height_cm,urc:197|national:196,urc:117|national:117,urc:['Ireland']|national:['Ireland'],urc:None|national:None,196,117,national,2026-07-23T23:59:18+09:00
tadhg-furlong,Tadhg FURLONG,urc|national,yes,height_cm|weight_kg,urc:185|national:184,urc:115|national:118,urc:['Ireland']|national:['Ireland'],urc:None|national:None,184,118,national,2026-07-23T23:58:37+09:00
taine-plumtree,Taine PLUMTREE,urc|national,yes,height_cm|weight_kg,urc:196|national:191,urc:113|national:108,"urc:['New Zealand', 'Wales']|national:['New Zealand', 'Wales']",urc:None|national:None,191,108,national,2026-07-24T00:09:22+09:00
tamaiti-williams,Tamaiti WILLIAMS,super-rugby|national,yes,height_cm|weight_kg,super-rugby:195|national:191,super-rugby:139|national:135,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,195,139,super-rugby,2026-07-25T23:44:50+09:00
tane-edmed,Tane EDMED,super-rugby|national,yes,height_cm,super-rugby:187|national:184,super-rugby:96|national:96,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,187,96,super-rugby,2026-07-25T23:48:20+09:00
taniela-filimone,Taniela FILIMONE,super-rugby|national,yes,height_cm,super-rugby:185|national:182,super-rugby:96|national:96,super-rugby:[]|national:[],super-rugby:None|national:None,185,96,super-rugby,2026-07-25T23:39:09+09:00
taniela-tupou,Taniela TUPOU,top14|national,yes,height_cm|weight_kg,top14:180|national:181,top14:148|national:150,"top14:['Tonga', 'Australia']|national:['Tonga', 'Australia']",top14:None|national:None,180,148,top14,2026-07-25T22:50:41+09:00
tate-mcdermott,Tate MCDERMOTT,super-rugby|national,yes,height_cm|weight_kg,super-rugby:180|national:174,super-rugby:80|national:81,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,180,80,super-rugby,2026-07-25T23:50:16+09:00
tavite-lopeti,Tavite LOPETI,mlr|national,yes,height_cm,mlr:177|national:175,mlr:92|national:92,mlr:['United-States']|national:['United-States'],mlr:None|national:None,175,92,national,2026-07-24T00:36:28+09:00
teddy-williams,Teddy WILLIAMS,urc|national,yes,height_cm|weight_kg,urc:206|national:198,urc:114|national:115,urc:['Wales']|national:['Wales'],urc:None|national:None,198,115,national,2026-07-24T00:09:58+09:00
temo-matiu,Temo MATIU,top14|national,yes,weight_kg,top14:191|national:191,top14:96|national:102,top14:['France']|national:['France'],top14:None|national:None,191,96,top14,2026-07-25T22:17:06+09:00
temo-mayanavanua,Temo MAYANAVANUA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:197|national:201,super-rugby:122|national:115,super-rugby:[]|national:[],super-rugby:None|national:None,197,122,super-rugby,2026-07-25T23:59:04+09:00
tevita-naqali,Tevita NAQALI,mlr|national,yes,weight_kg,mlr:195|national:195,mlr:119|national:123,"mlr:['Fiji', 'United-States']|national:['Fiji', 'United-States']",mlr:None|national:None,195,123,national,2026-07-24T00:35:33+09:00
tevita-ratuva,Tevita RATUVA,top14|national,yes,height_cm,top14:200|national:199,top14:126|national:126,top14:['Fiji']|national:['Fiji'],top14:None|national:None,200,126,top14,2026-07-25T22:24:29+09:00
tevita-tatafu,Tevita TATAFU,top14|national,yes,height_cm|weight_kg,top14:180|national:184,top14:135|national:143,"top14:['Tonga', 'France']|national:['Tonga', 'France']",top14:None|national:None,180,135,top14,2026-07-25T22:12:16+09:00
theo-attissogbe,Théo ATTISSOGBE,top14|national,yes,height_cm|weight_kg,top14:185|national:177,top14:83|national:87,top14:['France']|national:['France'],top14:None|national:None,185,83,top14,2026-07-25T22:44:52+09:00
theo-mcfarland,Theo MCFARLAND,premiership|national,yes,height_cm|weight_kg,premiership:194|national:201,premiership:120|national:113,premiership:['Samoa']|national:['Samoa'],premiership:None|national:None,201,113,national,2026-07-24T00:40:05+09:00
theodore-dan,Theo DAN,premiership|national,yes,height_cm|weight_kg,premiership:184|national:178,premiership:99|national:97,premiership:['England']|national:['England'],premiership:None|national:None,178,97,national,2026-07-24T00:14:08+09:00
thibaud-flament,Thibaud FLAMENT,top14|national,yes,weight_kg,top14:201|national:201,top14:115|national:116,top14:['France']|national:['France'],top14:None|national:None,201,115,top14,2026-07-25T22:58:22+09:00
thomas-du-toit,Thomas DU TOIT,premiership|national,yes,height_cm|weight_kg,premiership:194|national:190,premiership:133|national:135,premiership:['South Africa']|national:['South Africa'],premiership:None|national:None,190,135,national,2026-07-24T00:05:39+09:00
thomas-laclayat,Thomas LACLAYAT,top14|national,yes,height_cm|weight_kg,top14:182|national:180,top14:124|national:125,top14:['France']|national:['France'],top14:None|national:None,182,124,top14,2026-07-25T22:43:10+09:00
thomas-ramos,Thomas RAMOS,top14|national,yes,height_cm|weight_kg,top14:174|national:178,top14:87|national:84,top14:['France']|national:['France'],top14:None|national:None,174,87,top14,2026-07-25T22:59:55+09:00
thomas-staniforth,Tom STANIFORTH,top14|national,yes,height_cm|weight_kg,top14:196|national:201,top14:124|national:129,"top14:['Australia', 'France']|national:['Australia', 'France']",top14:None|national:None,196,124,top14,2026-07-25T22:20:38+09:00
