div,name,missing,file
pro,Bachuki Tchumbadze,"height,weight,university,high_school,country",src/content/players/pro/bachuki-tchumbadze.md
pro,Bailey CUTTS,"university,high_school,country",src/content/players/pro/bailey-cutts.md
pro,Bailyn SULLIVAN,"university,high_school,country",src/content/players/pro/bailyn-sullivan.md
pro,Baptiste CHOUZENOUX,"university,high_school,country",src/content/players/pro/baptiste-chouzenoux.md
pro,Baptiste COPE,"university,high_school",src/content/players/pro/baptiste-cope.md
pro,Baptiste COUILLOUD,"university,high_school",src/content/players/pro/baptiste-couilloud.md
pro,Baptiste DELAPORTE,"university,high_school",src/content/players/pro/baptiste-delaporte.md
pro,Baptiste ERDOCIO,"university,high_school",src/content/players/pro/baptiste-erdocio.md
pro,Baptiste GERMAIN,"university,high_school,country",src/content/players/pro/baptiste-germain.md
pro,Baptiste HEGUY,"university,high_school,country",src/content/players/pro/baptiste-heguy.md
pro,Baptiste JAUNEAU,"university,high_school,country",src/content/players/pro/baptiste-jauneau.md
pro,Baptiste PESENTI,"university,high_school,country",src/content/players/pro/baptiste-pesenti.md
pro,Baptiste SERIN,"university,high_school",src/content/players/pro/baptiste-serin.md
pro,Baptiste TILLOLES,"university,high_school,country",src/content/players/pro/baptiste-tilloles.md
pro,Barnabe MASSA,"university,high_school,country",src/content/players/pro/barnabe-massa.md
pro,Bastien CHALUREAU,"university,high_school",src/content/players/pro/bastien-chalureau.md
pro,Bastien CHINARRO,"university,high_school",src/content/players/pro/bastien-chinarro.md
pro,Bastien VERGNES-TAILLEFER,"university,high_school,country",src/content/players/pro/bastien-vergnes-taillefer.md
pro,Bautista BERNASCONI,"university,country",src/content/players/pro/bautista-bernasconi.md
pro,Bautista DELGUY,"university,high_school,country",src/content/players/pro/bautista-delguy.md
pro,Bayley KUENZLE,"university,high_school,country",src/content/players/pro/bayley-kuenzle.md
pro,Beauden BARRETT,"university,high_school,country",src/content/players/pro/beauden-barrett.md
pro,Beka GIGASHVILI,"university,high_school",src/content/players/pro/beka-gigashvili.md
pro,Beka GORGADZE,"university,high_school,country",src/content/players/pro/beka-gorgadze.md
pro,Beka SAGINADZE,"university,high_school",src/content/players/pro/beka-saghinadze.md
pro,Beka SHVANGIRADZE,"university,high_school",src/content/players/pro/beka-shvangiradze.md
pro,Ben AKE,"university,high_school,country",src/content/players/pro/ben-ake.md
