nationality,place_of_birth,birth_date,scraped_url,player_name
,,,https://all.rugby/player/rory-mcguire,Rory MCGUIRE
,,,https://all.rugby/player/rory-jennings-,Rory JENNINGS
Scotland,,,https://all.rugby/player/rory-darge,Rory DARGE
,,,https://all.rugby/player/ronan-foxe,Ronan FOXE
,,,https://all.rugby/player/romarick-camou,Romaric CAMOU
,,,https://all.rugby/player/roman-salanoa,Roman SALANOA
France,,,https://all.rugby/player/romain-taofifenua,Romain TAOFIFENUA
,,,https://all.rugby/player/romain-macurdy,Romain MACURDY
,,,https://all.rugby/player/romain-gardrat,Romain GARDRAT
France,,,https://all.rugby/player/romain-buros,Romain BUROS
France,,,https://all.rugby/player/romain-briatte,Romain BRIATTE
South Africa,,,https://all.rugby/player/rohan-janse-van-rensburg,Rohan JANSE VAN RENSBURG
,,,https://all.rugby/player/rodrigo-martinez,Rodrigo MARTINEZ
Argentina,,,https://all.rugby/player/rodrigo-bruni,Rodrigo BRUNI
,,,https://all.rugby/player/robin-taccola,Robin TACCOLA
,,,https://all.rugby/player/roberto-fasti,Roberto FASTI
,,,https://all.rugby/player/robert-hunt,Robert HUNT
Ireland,,,https://all.rugby/player/robert-baloucoune,Robert BALOUCOUNE
Australia,,,https://all.rugby/player/rob-simmons,Rob SIMMONS
,,,https://all.rugby/player/rob-leota,Rob LEOTA
South Africa,,,https://all.rugby/player/rob-herring,Rob HERRING
,,,https://all.rugby/player/rob-carmichael,Rob CARMICHAEL
Wales,,,https://all.rugby/player/rio-dyer,Rio DYER
,,,https://all.rugby/player/riley-norton,Riley NORTON
,,,https://all.rugby/player/rico-buliruarua,Riko BULIRUARUA
,,,https://all.rugby/player/ricky-riccitelli,Ricky RICCITELLI
,,,https://all.rugby/player/richard-kriel,Richard KRIEL
,,,https://all.rugby/player/riccardo-genovese,Riccardo GENOVESE
Italy,,,https://all.rugby/player/riccardo-favretto,Riccardo FAVRETTO
,,,https://all.rugby/player/rhys-litterick,Rhys LITTERICK
,,,https://all.rugby/player/rhys-henry,Rhys HENRY
,,,https://all.rugby/player/rhys-davies,Rhys DAVIES
,,,https://all.rugby/player/rhys-cummings,Rhys CUMMINGS
,,,https://all.rugby/player/rhys-barratt,Rhys BARRATT
,,,https://all.rugby/player/rhyno-smith,Rhyno SMITH
Wales,,,https://all.rugby/player/rhodri-williams,Rhodri WILLIAMS
,,,https://all.rugby/player/rhodri-lewis,Rhodri LEWIS
Wales,,,https://all.rugby/player/rhodri-jones,Rhodri JONES
,,,https://all.rugby/player/rf-schoeman,RF SCHOEMAN
,,,https://all.rugby/player/reuben-morgan-williams,Reuben MORGAN-WILLIAMS
,,,https://all.rugby/player/renzo-du-plessis,Renzo DU PLESSIS
,,,https://all.rugby/player/remy-baget,Rémy BAGET
,,,https://all.rugby/player/remi-seneca,Rémi SÉNÉCA
,,,https://all.rugby/player/remi-picquette,Rémi PICQUETTE
,,,https://all.rugby/player/reinhardt-ludwig,Reinhardt LUDWIG
,,,https://all.rugby/player/reinhard-nothnagel,Reinhard NOTHNAGEL
France,,,https://all.rugby/player/regis-montagne,Régis MONTAGNE
Australia,,,https://all.rugby/player/reece-hodge,Reece HODGE
,,,https://all.rugby/player/reece-hewat,Reece HEWAT
,,,https://all.rugby/player/reda-wardi,Reda WARDI
,,,https://all.rugby/player/rayan-rebbadj,Rayan REBBADJ
,,,https://all.rugby/player/rambo-kubheka,Rambo KUBHEKA
,,,https://all.rugby/player/quentin-walcker,Quentin WALCKER
,,,https://all.rugby/player/quentin-lespiaucq,Quentin LESPIAUCQ
,,,https://all.rugby/player/quan-horn,Quan HORN
Samoa,,,https://all.rugby/player/posolo-tuilagi,Posolo TUILAGI
,,,https://all.rugby/player/pj-botha,PJ BOTHA
Fiji,,,https://all.rugby/player/pita-gus-sowakula,Pita-Gus SOWAKULA
,,,https://all.rugby/player/pio-muarua,Pio MUARUA
Italy,,,https://all.rugby/player/pietro-ceccarelli,Pietro CECCARELLI
,,,https://all.rugby/player/piers-o-conor,Piers O'CONOR
South Africa,,,https://all.rugby/player/pierre-schoeman,Pierre SCHOEMAN
,,,https://all.rugby/player/pierre-popelin,Pierre POPELIN
,,,https://all.rugby/player/pierre-huguet,Pierre HUGUET
,,,https://all.rugby/player/pierre-henri-azagoh,Pierre-Henri AZAGOH
,,,https://all.rugby/player/pierre-fouyssac,Pierre FOUYSSAC
,,,https://all.rugby/player/pierre-damond,Pierre DAMOND
,,,https://all.rugby/player/pierre-colonna,Pierre COLONNA
,,,https://all.rugby/player/pierre-castillon,Pierre CASTILLON
France,,,https://all.rugby/player/pierre-bourgarit,Pierre BOURGARIT
,,,https://all.rugby/player/pierre-boudehent,Pierre BOUDEHENT
France,,,https://all.rugby/player/pierre-bochaton,Pierre BOCHATON
,,,https://all.rugby/player/philip-albert-van-niekerk,PA VAN NIEKERK
,,,https://all.rugby/player/phil-cokanasiga,Phil COKANASIGA
,,,https://all.rugby/player/phiko-sobahle,Phiko SOBAHLE
,,,https://all.rugby/player/phendulani-buthelezi,Phepsi BUTHELEZI
,,,https://all.rugby/player/phatu-ganyane,Phatu GANYANE
,,,https://all.rugby/player/peter-dooley,Peter DOOLEY
